SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539346,SADBHIN     ,B ,Q,78.00,78.00,74.95,77.50,74.95,77.85,16,1512,116929.00,
539351,PRABHAT     ,B ,Q,65.85,65.85,64.80,64.95,64.80,65.75,11,2451,160163.00,
539353,SWARAJAUTO  ,X ,Q,210.10,217.00,210.10,215.55,215.55,216.20,15,178,38180.00,
539354,POLYSPIN    ,X ,Q,120.20,131.90,120.20,129.00,129.00,121.35,8,656,83900.00,
539359,PRITIKAUTO  ,X ,Q,120.10,125.65,116.70,122.70,120.00,120.10,62,4146,501443.00,
539384,KRISHNACAP  ,XT,Q,6.30,6.93,6.30,6.30,6.30,6.60,3,140,894.00,
539391,ACME        ,X ,Q,11.59,11.59,11.59,11.59,11.59,11.65,1,30,347.00,
539398,VISHALBL    ,M ,Q,50.00,50.00,44.00,44.00,44.00,46.00,2,6750,317250.00,
539399,BELLACASA   ,T ,Q,144.90,144.90,144.90,144.90,144.90,151.80,1,1,144.00,
539400,MALLCOM     ,X ,Q,249.00,249.00,249.00,249.00,249.00,238.00,1,1,249.00,
539404,SATIN       ,B ,Q,298.30,303.00,295.55,298.00,303.00,304.50,107,1593,474805.00,
539407,GENCON      ,X ,Q,119.35,119.35,115.70,118.10,118.60,117.65,59,5700,671930.00,
539410,WELCON      ,X ,Q,5.41,5.41,5.40,5.41,5.41,5.40,5,1024,5539.00,
539428,TEJNAKSH    ,B ,Q,52.90,55.90,52.05,55.90,55.90,51.55,9,675,35874.00,
539436,COFFEEDAY   ,A ,Q,244.50,244.50,239.00,240.30,241.00,243.20,149,4406,1063012.00,
539437,IDFCFIRSTB  ,A ,Q,41.40,42.00,40.75,41.80,41.80,41.15,2071,1094067,45288211.00,
539448,INDIGO      ,A ,Q,1462.00,1497.15,1415.60,1474.00,1474.00,1466.60,13724,398418,579723500.00,
539450,SHK         ,B ,Q,142.45,147.80,142.45,147.35,144.70,142.25,121,2736,400903.00,
539455,DASL        ,XT,Q,26.00,26.00,25.95,26.00,25.95,26.70,5,1795,46630.00,
539479,GTV         ,X ,Q,23.70,23.70,23.70,23.70,23.70,22.60,2,4,94.00,
539486,GEETANJ     ,XT,Q,1.78,1.78,1.77,1.77,1.77,1.78,14,14618,25893.00,
539515,GMLM        ,XT,Q,49.20,49.20,49.20,49.20,49.20,48.25,1,400,19680.00,
539516,HDFCNIFETF  ,B ,Q,1230.00,1270.00,1174.34,1186.12,1186.12,1250.00,9,10,12142.00,
539517,SXETF       ,B ,Q,3941.00,3970.00,3932.71,3970.00,3970.00,3918.89,35,6279,24710233.00,
539518,UDAYJEW     ,X ,Q,50.00,53.85,50.00,50.00,53.85,50.35,4,1201,60053.00,
539519,MAYUKH      ,XT,Q,13.40,13.40,13.40,13.40,13.40,13.30,1,500,6700.00,
539520,SHAILJA     ,X ,Q,18.15,18.15,16.00,17.20,16.10,17.25,43,114929,1989984.00,
539522,GROVY       ,XT,Q,21.45,21.45,21.45,21.45,21.45,21.85,9,435,9330.00,
539523,ALKEM       ,A ,Q,1674.00,1696.50,1674.00,1687.55,1687.55,1682.90,210,1166,1965243.00,
539524,LALPATHLAB  ,A ,Q,1044.00,1072.00,1040.00,1064.65,1044.40,1036.20,547,179841,188868334.00,
539525,NAVKETAN    ,X ,Q,0.25,0.25,0.25,0.25,0.25,0.26,1,500,125.00,
539526,SCTL        ,M ,Q,16.50,16.50,16.50,16.50,16.50,16.00,1,4000,66000.00,
539528,AAYUSH      ,X ,Q,29.80,29.80,25.10,25.60,25.60,26.20,3,92,2323.00,
539542,LUXIND      ,A ,Q,1169.30,1169.30,1100.00,1147.95,1155.00,1140.50,434,2171,2464100.00,
539545,APOORVA     ,X ,Q,17.20,17.20,17.20,17.20,17.20,17.55,3,111,1909.00,
539546,BNL         ,X ,Q,8.58,8.58,8.58,8.58,8.58,8.19,1,5,42.00,
539551,NH          ,B ,Q,192.00,192.00,181.35,188.00,188.00,189.00,33,272,50655.00,
