SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
<br>542650,METROPOLIS  ,922.85,927.15,918.00,920.95
<br>542651,KPITTECH    ,96.75,101.00,95.90,97.80
<br>542652,POLYCAB     ,600.80,600.95,586.25,592.00
<br>542653,JINAAM      ,38.60,39.50,37.00,39.50
<br>542654,VRFILMS     ,57.10,58.00,57.10,58.00
<br>542655,VIKASMCORP  ,3.61,3.97,3.61,3.62
<br>542665,NEOGEN      ,240.55,251.85,240.55,248.00
<br>542666,GKP         ,44.40,44.40,44.40,44.40
<br>542667,WORL        ,78.00,78.50,77.90,78.50
<br>542668,EVANS       ,66.50,66.50,66.50,66.50
<br>542669,BMW         ,30.45,30.45,29.00,29.70
<br>542670,ARTEMISELC  ,68.00,68.75,67.25,67.50
<br>555555,ICICISENSX  ,397.73,397.73,397.73,397.73
<br>570001,TATAMTRTDVR ,84.00,84.00,80.80,83.10
<br>570004,JISLBNDVR   ,33.40,33.75,32.30,33.60
<br>580001,STAN CHART  ,53.30,55.45,53.30,55.00
<br>590003,KARUR VY(PS ,75.00,77.90,74.45,75.15
<br>590005,TIDE WATE(PS,4866.25,4866.25,4800.90,4820.95
<br>590006,AMRUTANJAN  ,279.75,284.50,278.10,279.25
<br>590018,HISARMET(PS ,55.05,55.05,51.55,55.00
<br>590021,BHARAT RA(PS,4050.05,4057.75,4000.05,4006.50
<br>590024,FERT CHE(PS ,33.40,34.30,33.15,34.00
<br>590025,GINNI FIL(PS,11.66,12.14,11.66,11.92
<br>590030,SOUTH PET(PS,22.35,23.00,22.35,22.75
<br>590031,DE NORA     ,249.95,250.00,248.45,250.00
<br>590043,HARITA SEAT ,441.80,457.50,441.80,450.90
<br>590051,SAKSOFT LTD ,266.50,268.00,264.00,266.50
<br>590056,SALONA COTSP,89.05,99.40,89.05,95.00
<br>590057,PROSEED     ,0.45,0.45,0.43,0.43
<br>590062,ANDHRA SUGAR,340.00,343.20,338.10,339.40
<br>590065,INDIA MOTOR ,835.10,845.00,835.00,840.00
<br>590066,KCP LTD     ,85.80,86.30,84.55,84.75
<br>590068,KHAITAN INDI,29.80,29.80,26.30,29.25
<br>590070,RADAAN MEDIA,2.69,2.69,2.60,2.60
<br>590071,SUNDARAM FIN,1403.45,1410.00,1400.00,1403.05
<br>590072,SUNDARAM BRK,280.00,300.00,280.00,294.50
<br>590073,WHEELS INDIA,805.00,838.85,805.00,830.00
<br>590075,LAMBODHARA T,42.15,42.35,42.15,42.35
<br>590078,MAITHAN ALL ,518.00,535.00,511.50,533.35
<br>590086,ORISSA MINE ,768.85,832.30,768.85,783.70
<br>590095,GOLDBEES    ,2821.00,2833.59,2821.00,2825.06
<br>590096,LIQUIDBEES  ,999.35,1000.01,999.35,1000.01
<br>590097,KOTAKGOLDETF,281.50,282.90,279.70,280.04
<br>590098,SBI GOLD ETS,2885.01,2918.00,2868.01,2904.57
<br>590099,QUANTUM GOLD,1407.00,1407.00,1407.00,1407.00
<br>590101,UTI GOLD ETF,2846.10,2864.98,2833.00,2837.00
<br>590103,NIFTY BEES  ,1185.00,1201.04,1183.70,1197.88
<br>590104,JUNIOR BEES ,268.71,270.80,267.14,270.41
<br>590106,BANK BEES   ,2945.00,3004.45,2945.00,3002.58
<br>590107,KOTAK PSU BK,288.00,290.00,288.00,289.01
<br>590108,PSUBNK BEES ,320.00,325.72,319.48,325.72
